model,window_size,masking_rate,pattern_type,mae,mse,
TimesNet,1000,0.01,point,0.116,0.0871,
SAITS,1000,0.01,point,0.0624,0.008,
CSDI,1000,0.01,point,0.6403,0.9431,
TimeMixer,1000,0.01,point,0.2271,0.0865,
,,,,,,
linear,500,0.18,point,0.0323,0.0043,
global_mean,500,0.18,point,0.3632,0.3267,
global_median,500,0.18,point,0.3454,0.3598,
rolling_mean,500,0.18,point,0.2215,0.1598,
rolling_median,500,0.18,point,0.2261,0.1983,
LOCF / NOCB,500,0.18,point,0.0422,0.0185,
TimesNet,500,0.18,point,0.0943,0.0188,
SAITS,500,0.18,point,0.0674,0.0091,
CSDI,500,0.18,point,0.5117,0.6783,
TimeMixer,500,0.18,point,0.1441,0.0413,
,,,,,,
linear,500,0.1,point,0.0313,0.004,
global_mean,500,0.1,point,0.3636,0.3267,
global_median,500,0.1,point,0.3455,0.3594,
rolling_mean,500,0.1,point,0.2214,0.1601,
rolling_median,500,0.1,point,0.2261,0.1993,
LOCF / NOCB,500,0.1,point,0.038,0.0159,
TimesNet,500,0.1,point,0.0963,0.019,
SAITS,500,0.1,point,0.0628,0.0083,
CSDI,500,0.1,point,0.5471,0.7342,
TimeMixer,500,0.1,point,0.1105,0.025,
,,,,,,
linear,500,0.05,point,0.031,0.0044,
global_mean,500,0.05,point,0.366,0.3324,
global_median,500,0.05,point,0.3483,0.3676,
rolling_mean,500,0.05,point,0.2215,0.1611,
rolling_median,500,0.05,point,0.2253,0.1988,
LOCF / NOCB,500,0.05,point,0.0367,0.0161,
TimesNet,500,0.05,point,0.101,0.0241,
SAITS,500,0.05,point,0.0665,0.0088,
CSDI,500,0.05,point,0.5499,0.739,
TimeMixer,500,0.05,point,0.1201,0.028,
,,,,,,
linear,500,0.01,point,0.0312,0.0069,
global_mean,500,0.01,point,0.366,0.3477,
global_median,500,0.01,point,0.3504,0.3876,
rolling_mean,500,0.01,point,0.2248,0.174,
rolling_median,500,0.01,point,0.2293,0.222,
LOCF / NOCB,500,0.01,point,0.0352,0.015,
TimesNet,500,0.01,point,0.0787,0.0172,
SAITS,500,0.01,point,0.0664,0.0117,
CSDI,500,0.01,point,0.5821,0.9058,
TimeMixer,500,0.01,point,0.1216,0.0293,
